evidence_layer,snapshot,song_age,delta_excess,decay_equivalent_years,inversion_status
Temporal event,August 2025,16,2.4512295719264454,2.534599054107975,valid
Temporal event,August 2025,17,2.4512295719264454,2.5392850417349067,valid
Temporal event,August 2025,18,2.4512295719264454,2.54651254654833,valid
Temporal event,August 2025,19,2.4512295719264454,2.5561406955193107,valid
Temporal event,August 2025,20,2.4512295719264454,2.5680484598426787,valid
Temporal event,August 2025,21,2.4512295719264454,2.5821318166218283,valid
Temporal event,August 2025,22,2.4512295719264454,2.5983014047290247,valid
Temporal event,August 2025,23,2.4512295719264454,2.6164805767257846,valid
Temporal event,August 2025,24,2.4512295719264454,2.6366037709113535,valid
Temporal event,August 2025,25,2.4512295719264454,2.658615143592261,valid
Temporal event,August 2025,26,2.4512295719264454,2.682467414304938,valid
Temporal event,August 2025,27,2.4512295719264454,2.7081208864761592,valid
Temporal event,August 2025,28,2.4512295719264454,2.7355426132029272,valid
Temporal event,August 2025,29,2.4512295719264454,2.76470568398096,valid
Temporal event,August 2025,30,2.4512295719264454,2.7955886124278457,valid
Temporal event,August 2025,31,2.4512295719264454,2.8281748090470735,valid
Temporal event,August 2025,32,2.4512295719264454,2.8624521256633635,valid
Temporal event,August 2025,33,2.4512295719264454,2.898412460667977,valid
Temporal event,August 2025,34,2.4512295719264454,2.9360514160238402,valid
Temporal event,August 2025,35,2.4512295719264454,2.9753679984615857,valid
Temporal event,August 2025,36,2.4512295719264454,3.016364358527184,valid
Temporal event,August 2025,37,2.4512295719264454,3.0590455622881123,valid
